order_id,order_date,category,sub_category,region,segment,quantity,sales,discount,profit
5001,2024-09-04,Office Supplies,Paper,West,Consumer,2,940.8,0.15,-34.11
5002,2024-09-14,Furniture,Furnishings,WEST,Consumer,1,663.21,0,214.7
5003,2024-01-18,Technology,Phones,WEST,Consumer,5,576.05,0.1,-40.37
5004,2024-11-07,Furniture,Bookcases,SOUTH,Home Office,2,173.94,0.2,-16.5
5005,2024-06-15,Furniture,Tables,West,Corporate,3,2218.56,0,-0.26
5006,2024-08-11,Furniture,Tables,North,Home Office,4,1458.32,0.15,421.56
5007,2024-08-14,Furniture,Furnishings,South,Consumer,1,770.0,0,178.86
5008,2024-08-19,Technology,Machines,East,Home Office,5,1852.0,0.3,-133.79
5009,2024-05-21,Office Supplies,Art,NORTH,Home Office,3,2383.65,0.3,121.5
5010,2024-06-06,Technology,Copiers,EAST,Corporate,3,307.53,0,-12.58
5011,2024-02-06,Office Supplies,Paper,South,Corporate,2,654.6,0,190.94
5012,2024-07-08,Office Supplies,Storage,West,Home Office,1,75.56,0,-2.57
5013,2024-05-10,Furniture,Chairs,West,Consumer,1,125.08,0.15,3.68
5014,2024-10-21,Technology,Machines,South,Home Office,4,2377.72,0.1,641.48
5015,2024-08-21,Technology,Copiers,West,Consumer,2,118.36,0,40.52
5016,2024-02-01,Office Supplies,Paper,North,Consumer,3,388.5,0,126.06
5017,2024-07-05,Technology,Phones,North,Home Office,4,837.12,0,126.52
5018,2024-08-16,Office Supplies,Binders,North,Corporate,2,155.7,0,35.01
5019,2024-09-01,Technology,Machines,West,Consumer,1,761.28,0.15,19.98
5020,2024-12-28,Technology,Phones,East,Consumer,2,839.06,0,23.37
5021,2024-04-27,Furniture,Bookcases,South,Consumer,2,,0,-59.5
5022,2024-08-09,Office Supplies,Storage,North,Corporate,1,557.09,0,41.01
5023,2024-04-16,Technology,Machines,EAST,Consumer,1,276.81,0.1,40.37
5024,2024-11-03,Technology,Phones,West,Corporate,5,2659.3,0.1,577.16
5025,2024-06-03,Furniture,Furnishings,South,Home Office,5,3787.35,0.2,145.19
5026,2024-01-05,Office Supplies,Binders,south,Consumer,3,2174.49,0.3,270.83
5027,2024-03-01,Technology,Copiers,east,Home Office,1,641.49,0.2,89.73
5028,2024-04-01,Technology,Accessories,West,Consumer,2,356.2,0.15,-9.0
5029,2024-01-24,Technology,Machines,East,Consumer,2,1438.38,0.2,163.03
5030,2024-09-01,Technology,Copiers,South,Home Office,5,1788.5,0,275.92
5031,2024-02-18,Furniture,Tables,South,Home Office,1,267.53,0.15,26.23
5032,2024-01-25,Office Supplies,Binders,north,Corporate,1,411.09,0.15,-47.55
5033,2024-10-17,Furniture,Furnishings,East,Home Office,1,557.26,0.1,52.2
5034,2024-08-05,Office Supplies,Paper,East,Consumer,2,212.16,0.1,1.53
5035,2024-05-26,Technology,Accessories,WEST,Home Office,1,718.65,0,229.79
5036,2024-08-08,Technology,Machines,south,Consumer,4,3049.92,0.1,802.8
